Year,County,Hospital,OSHPDID,Procedure/Condition,Risk Adjusted Mortality Rate,# of Deaths,# of Cases,Hospital Ratings,Longitude,Latitude,location1
2012,Alameda,Alameda Hospital,106010735,PCI,,,,As Expected,-122.25362,37.762953,"(37.762953, -122.25362)"
2012,Alameda,Alameda Hospital,106010735,AMI,5.5,4,41,As Expected,-122.25362,37.762953,"(37.762953, -122.25362)"
2012,Alameda,Alameda Hospital,106010735,Acute Stroke Ischemic,2.3,1,60,As Expected,-122.25362,37.762953,"(37.762953, -122.25362)"
2012,Alameda,Alameda Hospital,106010735,Pancreatic Resection,,,,As Expected,-122.25362,37.762953,"(37.762953, -122.25362)"
2012,Alameda,Alameda Hospital,106010735,GI Hemorrhage,1.3,1,65,As Expected,-122.25362,37.762953,"(37.762953, -122.25362)"
2012,Alameda,Alameda Hospital,106010735,Carotid Endarterectomy,0,0,5,As Expected,-122.25362,37.762953,"(37.762953, -122.25362)"
2012,Alameda,Alameda Hospital,106010735,Esophageal Resection,,,,As Expected,-122.25362,37.762953,"(37.762953, -122.25362)"
2012,Alameda,Alameda Hospital,106010735,Acute Stroke Hemorrhagic,25.1,5,11,As Expected,-122.25362,37.762953,"(37.762953, -122.25362)"
2012,Alameda,Alameda Hospital,106010735,Craniotomy,,,,As Expected,-122.25362,37.762953,"(37.762953, -122.25362)"
2012,Alameda,Alameda Hospital,106010735,Heart Failure,2.6,5,139,As Expected,-122.25362,37.762953,"(37.762953, -122.25362)"
2012,Alameda,Alameda Hospital,106010735,Acute Stroke,8.8,7,72,As Expected,-122.25362,37.762953,"(37.762953, -122.25362)"
2012,Alameda,Alameda Hospital,106010735,Pancreatic Other,,,,As Expected,-122.25362,37.762953,"(37.762953, -122.25362)"
2012,Alameda,Alameda Hospital,106010735,Acute Stroke Subarachnoid,,,,As Expected,-122.25362,37.762953,"(37.762953, -122.25362)"
2012,Alameda,Alameda Hospital,106010735,AAA Repair,,,,As Expected,-122.25362,37.762953,"(37.762953, -122.25362)"
2012,Alameda,Alameda Hospital,106010735,Hip Fracture,0,0,35,As Expected,-122.25362,37.762953,"(37.762953, -122.25362)"
2012,Alameda,Alameda Hospital,106010735,Pneumonia,2.7,5,148,As Expected,-122.25362,37.762953,"(37.762953, -122.25362)"
2012,Alameda,Alameda Hospital,106010735,Pancreatic Cancer,,,,As Expected,-122.25362,37.762953,"(37.762953, -122.25362)"
2012,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Acute Stroke Hemorrhagic,23.4,18,80,As Expected,-122.25784,37.85633,"(37.85633, -122.25784)"
